circID	name
hsa_circ_0000611	hsa_circ_000191
hsa_circ_0000612	hsa_circ_000854
hsa_circ_0000613	hsa_circ_001253
hsa_circ_0000614	hsa_circ_000192
hsa_circ_0000615	hsa_circ_000193
hsa_circ_0000616	hsa_circ_000601
hsa_circ_0000617	hsa_circ_000602
hsa_circ_0000618	hsa_circ_001254
hsa_circ_0000619	hsa_circ_001479
hsa_circ_0000620	hsa_circ_000603
hsa_circ_0000621	hsa_circ_000604
hsa_circ_0000622	hsa_circ_001383
hsa_circ_0000623	hsa_circ_001935
hsa_circ_0000624	hsa_circ_000605
hsa_circ_0000625	hsa_circ_001065
hsa_circ_0000626	hsa_circ_001936
hsa_circ_0000627	hsa_circ_001066
hsa_circ_0000628	hsa_circ_000606
hsa_circ_0000629	hsa_circ_001849
hsa_circ_0000630	hsa_circ_001255
hsa_circ_0000631	hsa_circ_000607
hsa_circ_0000632	hsa_circ_000855
hsa_circ_0000633	hsa_circ_001256
hsa_circ_0000634	hsa_circ_001850
hsa_circ_0000635	hsa_circ_000856
hsa_circ_0000636	hsa_circ_000857
hsa_circ_0000637	hsa_circ_000194
hsa_circ_0000638	hsa_circ_000858
hsa_circ_0000639	hsa_circ_000859
hsa_circ_0000640	hsa_circ_001878
hsa_circ_0000641	hsa_circ_001995
hsa_circ_0000642	hsa_circ_002031
hsa_circ_0000643	hsa_circ_001681
hsa_circ_0000644	hsa_circ_001067
hsa_circ_0000645	hsa_circ_001879
hsa_circ_0000646	hsa_circ_001629
hsa_circ_0000647	hsa_circ_002047
hsa_circ_0000648	hsa_circ_000195
hsa_circ_0000649	hsa_circ_001384
hsa_circ_0000650	hsa_circ_001909
hsa_circ_0000651	hsa_circ_001789
hsa_circ_0000652	hsa_circ_000861
hsa_circ_0000653	hsa_circ_001568
hsa_circ_0000654	hsa_circ_000608
hsa_circ_0000655	hsa_circ_000196
hsa_circ_0000656	hsa_circ_001385
hsa_circ_0000657	hsa_circ_000197
hsa_circ_0000658	hsa_circ_001819
hsa_circ_0000659	hsa_circ_001682
hsa_circ_0000660	hsa_circ_000609
hsa_circ_0000661	hsa_circ_000596
hsa_circ_0000662	hsa_circ_000864
hsa_circ_0000663	hsa_circ_001482
hsa_circ_0000664	hsa_circ_000621
hsa_circ_0000665	hsa_circ_001386
